B04,B08,B11,NDVI,EVI,NDMI,AGB
1770.7603814226586,2666.047720423077,3803.5187530366884,0.20178635592244515,0.16839332074838229,-0.17581874103992337,53.897323173314376
735.3328222366357,5578.686688763885,1557.8935008239791,0.7670793315291311,1.2118462837869375,0.563406152605524,309.9756898382193
379.4060849970233,1694.1855977810856,3870.1186575566644,0.6340590209102875,0.8276086427092959,-0.3910521350979663,191.2539667797171
397.93716395807706,2690.302044733372,1251.3161613085126,0.7422886392936927,1.1283710962064133,0.3650749027021552,298.4412176615583
612.2653481177128,4415.162569765675,2801.862240493646,0.7564299842796355,1.1752201958514892,0.2235409149148427,293.2080290272666
1693.2245353889232,3271.710467890463,1979.491936935058,0.3179268069251678,0.29379078955742244,0.24608050329994094,102.87767043446676
1260.0392694431887,7311.031449067525,3358.3057684375135,0.7059785617974416,1.0171603550559098,0.37047527879935704,275.1673371809171
1409.869641121758,4376.142846641324,1463.060646146716,0.5126627727265219,0.5777091491070397,0.4988834870361432,181.84144159762167
394.7058205148398,3973.4946809991425,1402.1644097185845,0.8192821868924381,1.4105870358156245,0.47832837376949816,343.4205478157754
811.6871457058262,6702.222395365058,1201.0731113583154,0.7839507804396273,1.272435737558967,0.6960576481837013,336.25548692671714
304.76816945445194,4468.690605686772,568.1814179654134,0.872307195160981,1.6527962648102479,0.7743911635298502,402.90452881088316
1134.2762517708716,2830.1696055213565,1425.4791897541718,0.4277756373449449,0.4399511720276172,0.33007667761412685,152.37206978968402
1269.7508528556398,7851.5500202883995,3486.517555432795,0.7215855784441941,1.0635666263499286,0.384989102888899,282.7978970854232
1732.5973136661505,7632.829544946258,698.5801223563893,0.6300014211551154,0.8181397935085895,0.8323020591547239,256.1320140712009
596.2126361628154,3436.335620248787,2351.191938529486,0.7042998131184124,1.0122167883076845,0.18749693552403132,265.9394849260903
1428.2373089547355,7914.239112821431,3486.8474084703985,0.6942486670937026,0.9836418580452456,0.3883306819656558,258.9278369113869
973.4827734464595,3346.06830677808,3953.552769198349,0.5492666920051843,0.6455688356724564,-0.08322136944016476,164.5215636580141
1416.8047377534713,1756.4914739002443,752.6807690506675,0.10704539172619659,0.08278322850236662,0.40005651555789123,60.480029075610275
975.9017191267826,2062.4661837515723,1752.8605599572852,0.3576145150947105,0.3430298681981353,0.08114786609656749,115.00660353614697
1540.3573770744772,3026.266123836298,3941.1112803521746,0.3253845529722527,0.3027669423346991,-0.1313040909531625,92.28278156908374
372.25191737492224,7837.322810110156,1058.4330666607618,0.9093127402608796,1.8529571326675014,0.7620363953993795,431.9224594581815
601.3679835763237,3384.558766938857,703.4017360414997,0.6982543726636602,0.9948826273898739,0.6558666670792866,280.75104420726825
1867.0296829748936,6025.12723398571,3263.2941457880625,0.5268645307277168,0.6033816836481497,0.29734149377787733,191.87729414006424
239.0303658009445,6577.264522607945,3469.9425940286396,0.9298650160595756,1.9776213122990225,0.3092722079078871,424.38941084442314
281.83423431948796,7086.9339764002325,1366.0232865446055,0.9235057402480804,1.9379048668987877,0.6767939918799241,429.663799151418
125.79257193985835,5170.584786161851,3055.1885505688156,0.9524986367432122,2.1281229345679926,0.2571668521292653,449.0743566952019
701.4769994980895,7990.736140791444,2850.4857347271395,0.8385964567145848,1.4936274146104502,0.47413939725721954,363.7041756476646
1714.4128990594947,4480.423754399877,3635.1843118592387,0.4465026294679233,0.46824711708833855,0.1041498598177254,151.12349897899745
1800.4237579910498,7460.844481407705,3644.8568880908265,0.611192827643759,0.7747893091511077,0.343606177224769,217.41439906921465
1531.3162419620126,7738.918410353488,542.8560402779826,0.6696272964537445,0.916775415527826,0.8689034472144934,273.49180506321284
